grab;;захватывать
bound by road;;связаны дорогой
awful smell;;ужасный запах
adopt in family;;принять в семье
torment a dog;;мучить собаку
struggle within;;борьба внутри
pretending not to see;;делать вид, что не видишь
pile of crap;;куча дерьма
looks pathetic;;выглядит жалким
commit action;;совершить действие
fair decision;;справедливое решение
seriously wounded;;тяжело ранен
gorgeous colors;;великолепные цвета
defend country;;защитить страну
cope with stress;;справиться со стрессом
influence of tv;;влияние телевидения
establishment;;учреждение
angry crowd;;разъяренная толпа
rush;;торопиться
lend money;;одолжить денег
dripping blood;;капает кровь
subtle meaning;;тонкий смысл
eventually arrived;;в конце концов прибыли
stroll around the city;;прогулка по городу
overwhelming majority;;подавляющее большинство
distract from work;;отвлекать от работы
earn money;;зарабатывать деньги
kind of;;что-то вроде
amazing world;;удивительный мир
certain;;определенный
alluring woman;;соблазнительная женщина
fetch help;;получать помощь
scary movie;;фильм ужасов
incredible noise;;невероятный шум
attend event;;участие в мероприятии
complicated exercise;;сложнее упражнение
I admire your courage;;я восхищаюсь вашим мужеством
dull children;;тупые дети
a remarkable coincidence;;замечательное совпадение
fiance;;жених
lead the way;;проложить путь
ahead;;вперед
mystery;;тайна
succumb to despair;;поддаваться отчаянию
obsession;;одержимость
discretion is paramount;[dɪsˈkreʃn] [ˈpærəmaʊnt];свобода имеет первостепенное значение
waiter;;официант
ashamed to admit;;стыдно признаться
courage;[ˈkʌrɪʤ];мужество
nevertheless;;тем не менее
cowardice;[ˈkaʊədɪs];трусость
passion;;страсть
scare;;паника
go ahead;;продолжай
gym;;спортзал
find out;;выяснить
idle chatter;[aɪdl ˈʧætə];болтовня
daze;;изумление
envious;[ˈenvɪəs];завистливый
affirm;[əˈfɜːm];утверждать
rare;;редкий
jealous;;ревнивый
competitor;[kəmˈpetɪtə];конкурент
mud;[mʌd];грязь
stun;[stʌn];оглушать
pick out;;выделить
performance;;производительность
cheeks;;щеки
are you certain;;вы уверены
mistress;;любовница
frighten;;пугать
back row;;задний ряд
flaw;;недостаток
swamp;;болото
work out;;разработать
wit;;остроумие
venal;;корыстный
trait;[treɪ];особенность
sweep;;подметать
smug;;самодовольный
rough;;грубо
ridiculous;;нелепый
retain;;сохранять
relieve;;избавить
obsess;;преследовать
imply;;подразумевать
essentially;;по существу
endure;[ɪnˈdjʊə];терпеть
dumb;[dʌm];немой
disgust;;отвращение
finally convince;;окончательно убедить
convenient;;удобный
conscious;;сознательный
confident;;уверенный
calm;;успокоиться
bitter;;резкий
beneath;;под
awesome;;классно
anxiety;[æŋˈzaɪətɪ];тревога
ailment;;болезнь
admire;;любоваться
abiding;;постоянный
worth;;стоимость
upstairs;;наверх
squeeze;;сжатие
no way;;никоим образом
in a while;;скоро
hang up;;вешать трубку
gotta admit;;должен признать
give it up;;отказаться от него
council;;Совет
conversation;;разговор
break it down;;разбить его
